model,meal_type,sspg_n,sspg_pearson_r,sspg_spearman_r,sspg_r2,sspg_rmse,sspg_mae,di_n,di_pearson_r,di_spearman_r,di_r2,di_rmse,di_mae
GV_26D_Exp8,Cornflakes,20,0.5089387119362334,0.6481203007518795,0.2515692019806465,69.05416094212359,46.08473525725829,16.0,0.6582940359168882,0.5852941176470587,0.2717658548410822,0.6186904088623398,0.5264301952653145
GV_10D_head_v20,Cornflakes,20,0.39323726525041836,0.6120300751879698,-0.08287650190618967,83.0622119654594,49.16786581171813,16.0,0.5721739184350579,0.5705882352941177,-0.02649303629803157,0.7345407061999133,0.6236308205412131
Healey_with_FI,Cornflakes,20,0.41867468974689764,0.39999999999999997,0.16877521632200754,72.77350111302597,51.20465661554821,,,,,,
Healey_CGM_only,Cornflakes,20,-0.2378435406112364,0.2270676691729323,-0.20606146723378793,87.65945143671978,64.66457142430949,,,,,,
GV_26D_Exp8,PB_sandwich,20,0.3223848956699169,0.33082706766917286,-0.22312389647447883,88.27734296866805,75.78362399096146,16.0,0.5746515305133085,0.5882352941176471,-0.3786475060332124,0.8512644248817199,0.6114100132259488
GV_10D_head_v20,PB_sandwich,20,0.3115592772228034,0.3654135338345864,-0.045370118729520126,81.6110693316868,64.69956784824603,16.0,0.5784386964406906,0.5823529411764706,-0.6525441072564226,0.9319967424083727,0.7067315252687445
Healey_with_FI,PB_sandwich,20,0.6801216259271712,0.5052631578947367,0.3398573670420657,64.85342517835805,47.57862240546619,,,,,,
Healey_CGM_only,PB_sandwich,20,0.15373826504013904,0.431578947368421,-0.01288585448006474,80.33305449594728,63.11622833584532,,,,,,
GV_26D_Exp8,Protein_bar,20,0.6208427793362791,0.8150375939849623,0.2538893548855258,68.9470431071402,51.952272844619415,16.0,0.6541519315197574,0.538235294117647,0.2169074341550573,0.6415705421219565,0.5591234908866457
GV_10D_head_v20,Protein_bar,20,0.6005293468955453,0.7488721804511278,0.17912816668175313,72.3188821236926,54.173948355216524,16.0,0.5996899514666219,0.5941176470588235,0.2588186141262224,0.6241660123435273,0.47284168516833197
Healey_with_FI,Protein_bar,20,0.46577098704116293,0.4601503759398496,0.2064122340507688,71.10686136507739,49.06913390951241,,,,,,
Healey_CGM_only,Protein_bar,20,0.23001610052931443,0.3203007518796992,0.03706464939027421,78.3271983371022,60.174610487939205,,,,,,
